상담회아이디,상담회주소,년,달,일,업체명,업종,설립년도,주소,홈페이지
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Punggi Premium Goods Agricultural Cooperative,제조업,1995,"1118 JUNGNYEONG-RO, PUNGGI-EUP, YEONGJU-SI, GYEONGSANGBUK-DO, SOUTH KOREA",www.kpch.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"HAEYEAREUM CO.,LTD",제조업,2009,"1520, Seonammun-ro, Docho-myeon, Sinan-gun, Jeollanam-do",www.haeyeareum.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Edible Inc.,제조,2014,"20, Seodal-ro 12sa-gil, Dongjak-gu, Seoul, Republic of Korea",edible-bug.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Korean Ginseng Research Co., Ltd.",제조,1996,"3275 Gyeonggang-ro,Yongmun-Myeon,Yangpyeong-Gun,Gyeonggi-Do, Korea",www.ginsengresearch.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"worldfood co.,ltd",도매업및소매업,2000,"45-78, yonggu-dae",www.murgerbon.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,DaeDo Food,제조업,2006,"72-24, Yangsuro-6gil, Okcheon-eup, Okcheon-gun, Chungbuk, 29035, Korea",N
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Maeum Food,식품,2016,"11-7, Geumgang-ro 2-gil, Nongong-eup, Dalseong-gun, Daegu",없음
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"Welltural.Co.,Ltd","견과, 시리얼, 선식, 체중조절식품",2002,Sanyepdanji3gil 17 Pengsan-eup Andong-shi Kyengsangbu-do,www.welltural.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,ILPLUS,"소매업, 건설업",2010,"4F 410, 47, Gongwon-ro, Guro-gu, Seoul, Republic of Korea",http://www.seaweedmarket.co.kr  / http://storefarm.naver.com/seaweedmt
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,HAENAEUM,식품,2015,"69, Seonju-ro, Gyeyang-gu, Incheon, Republic of Korea",haenaeum.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Backbone,도소매,2017,"93, Magok jungang 6- ro, Kangseo -gu, Seoul, Korea",
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,MUNGYEONG SMILE,식품제조,2013,"597, Sandong-ro, Sanyang-myeon, Mungyeong-si, Gyeongsangbuk-do",www.easternsmile.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,CHONMA CORPORATION,제조 도소매,1999,"29-8, Baekjegobun-ro 40-gil, Songpa-gu, Seoul, Republic of Korea",chonmafood.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,haedamsusan cooperative,수산물가공,2015,"39, Sindong-ro 2-gil, Jicheon-myeon, Chilgok-gun, Gyeongsangbuk-do, Republic of Korea",www.haedamsusan.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Haesim Bonga,제조업,2015,"3rd Floor, 1413 Nambu Ring Road, Gwanak-gu, Seoul",www.dasimaking.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"NC CO.,LTD",제조/도소매,2010,"836-2, Deogam-ri, Cheongdo-eup, Cheongdo-gun, Gyeongbuk, Korea",www.naturalnc.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,badaone,"건어물, 건어물 가공, 무역업",1995,"495 Dunchondae-Ro, Jungwon-Gu, Seongnam City, Kyunggi Province",www.badaone.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,SINGSONG FOOD CORP.,장류,2009,"55, Busong 1-gil, Jiksan-eup, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea",www.singsong.co.kr
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,JANGSUFOOD,"제조,도소매",2006,"3,4F,38,SEOKNAM-RO,SEOGU,INCHEON,KOREA",www.jangsufood.net
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,Sangwoel sweet potato,농업,2015,chungnam nonsansi sangwol daemeng 2gil 13-35,swgoguma.cafe24.com
2018 평창올림픽 연계 대규모 수출상담회(BKF),aT 센터 / 제2전시장 A홀,2018,2,22,"ESELNARA CO., LTD.",식품,2007,"5, Chilseongnamro 35Gil, Buk-gu, Daegu, KOREA",www.eselnara.com
