company_name,address,city,state,total_shipments,last_shipment,korean_supplier,note,website,grade,data_source,country,hs_category
Soko Glam,"1261 Broadway, Rm 1001, New York, NY 10001",New York,NY,2684,2025-12-02,한국 K뷰티 브랜드 다수,"K뷰티 전문 큐레이션 리테일러, 1순위 컨택",sokoglam.com,A++,ImportYeti_실통관,US,3304_화장품
Glow Recipe,"37 W 20th St, Ste 1001, New York, NY 10011",New York,NY,239,2025-11-13,한국 스킨케어,"K뷰티 원료 기반 미국 브랜드, 한국 공급망 보유",glowrecipe.com,A+,ImportYeti_실통관,US,3304_화장품
Peach & Lily / Bryant Park Studios,"80 W 40th St, Fl 7, New York, NY 10018",New York,NY,262,2024-04-21,한국 화장품 브랜드,CVS/타겟 입점 K뷰티 브랜드+유통사,peachandlily.com,A+,ImportYeti_실통관,US,3304_화장품
Peach Lily,"New York, NY 10018",New York,NY,88,2026-02-23,한국 화장품,2026년 2월까지 활성 - 최근 통관,peachandlily.com,A,ImportYeti_실통관,US,3304_화장품
Shiplab Soko Glam,"Vista, CA 92081",Vista,CA,1,2025-10-20,Soko Glam 물류법인,Soko Glam 물류/풀필먼트 법인,sokoglam.com,참고,ImportYeti_실통관,US,3304_화장품
Soko Glam National Fulfillment,"Reno, NV 89506",Reno,NV,1,2025-05-20,Soko Glam 물류법인,Soko Glam 물류/풀필먼트 법인,sokoglam.com,참고,ImportYeti_실통관,US,3304_화장품
